Area Code,Cogs,DifferenceBetweenActualandTargetProfit,Date,Inventory Margin,Margin,Market_size,Market,Marketing,Product_line,Product_type,Product,Profit,Sales,State,Target_cogs,Target_margin,Target_profit,Target_sales ,Total_expenses,Type
303,51,-35,10/1/2012,503,71,Major Market,Central,46,Leaves,Herbal Tea,Lemon,-5,122,Colorado,30,60,30,90,76,Decaf
970,52,-24,10/1/2012,405,71,Major Market,Central,17,Leaves,Herbal Tea,Mint,26,123,Colorado,30,60,50,90,45,Decaf
409,43,-22,10/2/2012,419,64,Major Market,South,13,Leaves,Herbal Tea,Lemon,28,107,Texas,30,60,50,90,36,Decaf
850,38,-15,10/3/2012,871,56,Major Market,East,10,Leaves,Tea,Darjeeling,35,94,Florida,40,60,50,100,21,Regular
562,72,6,10/4/2012,650,110,Major Market,West,23,Leaves,Tea,Green Tea,56,182,California,20,60,50,80,54,Regular
712,0,-29,10/5/2012,430,43,Small Market,Central,0,Beans,Espresso,Decaf Espresso,31,43,Iowa,0,60,60,60,12,Decaf
860,47,-29,10/6/2012,375,64,Small Market,East,15,Beans,Espresso,Decaf Espresso,21,111,Connecticut,30,60,50,90,43,Decaf
918,27,-39,10/7/2012,859,39,Small Market,South,7,Beans,Coffee,Decaf Irish Cream,21,66,Oklahoma,30,60,60,90,18,Decaf
775,31,-43,10/8/2012,1000,37,Small Market,West,9,Beans,Coffee,Decaf Irish Cream,7,68,Nevada,30,60,50,90,30,Decaf
435,40,-23,10/9/2012,881,59,Small Market,West,11,Beans,Espresso,Decaf Espresso,37,99,Utah,20,60,60,80,22,Decaf
603,49,-27,10/10/2012,310,71,Small Market,East,15,Beans,Coffee,Amaretto,33,120,New Hampshire,30,60,60,90,38,Regular
603,45,-26,10/11/2012,447,69,Small Market,East,14,Beans,Coffee,Colombian,24,114,New Hampshire,30,60,50,90,45,Regular
603,45,-37,10/12/2012,320,64,Small Market,East,41,Beans,Espresso,Caffe Mocha,-7,109,New Hampshire,30,60,30,90,71,Regular
318,60,-9,10/13/2012,-762,84,Small Market,South,54,Beans,Espresso,Caffe Latte,1,144,Louisiana,30,60,10,90,83,Regular
775,34,-32,10/14/2012,240,43,Small Market,West,12,Beans,Coffee,Colombian,-2,77,Nevada,40,60,30,100,45,Regular
503,54,-28,10/15/2012,404,66,Small Market,West,20,Beans,Espresso,Caffe Latte,12,120,Oregon,40,60,40,100,54,Regular
573,45,-36,10/16/2012,320,64,Small Market,Central,41,Leaves,Herbal Tea,Chamomile,-6,109,Missouri,20,60,30,80,70,Decaf
262,48,-15,10/17/2012,851,70,Small Market,Central,13,Leaves,Herbal Tea,Lemon,45,118,Wisconsin,30,60,60,90,25,Decaf
801,49,-27,10/18/2012,310,71,Small Market,West,15,Leaves,Herbal Tea,Chamomile,33,120,Utah,30,60,60,90,38,Decaf
425,48,-13,10/19/2012,829,71,Small Market,West,13,Leaves,Herbal Tea,Lemon,47,119,Washington,30,60,60,90,24,Decaf
860,40,-14,10/20/2012,881,59,Small Market,East,11,Leaves,Tea,Darjeeling,36,99,Connecticut,40,60,50,100,23,Regular
971,82,14,10/21/2012,788,123,Small Market,West,27,Leaves,Tea,Earl Grey,64,205,Oregon,30,60,50,90,59,Regular
971,91,26,10/22/2012,656,127,Small Market,West,28,Leaves,Tea,Green Tea,76,218,Oregon,40,60,50,100,51,Regular
915,40,-14,10/23/2012,536,52,Major Market,South,13,Beans,Coffee,Decaf Irish Cream,26,92,Texas,40,60,40,100,26,Decaf
210,50,8,10/24/2012,589,73,Major Market,South,14,Beans,Espresso,Decaf Espresso,48,123,Texas,30,60,40,90,25,Decaf
970,40,-13,10/25/2012,536,52,Major Market,Central,13,Beans,Coffee,Colombian,27,92,Colorado,30,60,40,90,25,Regular
774,52,-8,10/26/2012,554,68,Major Market,East,47,Beans,Espresso,Caffe Mocha,-8,120,Massachusetts,50,60,0,110,76,Regular
954,75,14,10/27/2012,1063,89,Major Market,East,23,Leaves,Herbal Tea,Mint,44,164,Florida,50,60,30,110,45,Decaf
936,46,1,10/28/2012,424,68,Major Market,South,14,Leaves,Herbal Tea,Lemon,31,114,Texas,40,60,30,100,37,Decaf
719,55,-5,10/29/2012,410,69,Major Market,Central,20,Leaves,Tea,Darjeeling,15,124,Colorado,40,60,20,100,54,Regular
847,50,8,10/30/2012,589,73,Major Market,Central,14,Leaves,Tea,Darjeeling,48,123,Illinois,40,60,40,100,25,Regular
719,57,-1,10/31/2012,1042,68,Major Market,Central,17,Leaves,Tea,Earl Grey,29,125,Colorado,40,60,30,100,39,Regular
339,36,-9,11/1/2012,862,52,Major Market,East,10,Leaves,Tea,Darjeeling,31,88,Massachusetts,30,60,40,90,21,Regular
314,33,-23,11/2/2012,836,48,Small Market,Central,9,Beans,Espresso,Decaf Espresso,27,81,Missouri,40,60,50,100,21,Decaf
504,31,-22,11/3/2012,856,47,Small Market,South,8,Beans,Coffee,Decaf Irish Cream,28,78,Louisiana,30,60,50,90,19,Decaf
580,36,-10,11/4/2012,862,52,Small Market,South,10,Beans,Coffee,Decaf Irish Cream,30,88,Oklahoma,40,60,40,100,22,Decaf
225,49,4,11/5/2012,454,71,Small Market,South,15,Beans,Espresso,Decaf Espresso,34,120,Louisiana,30,60,30,90,37,Decaf
262,54,-6,11/6/2012,391,67,Small Market,Central,20,Beans,Coffee,Amaretto,14,121,Wisconsin,50,60,20,110,53,Regular
603,46,-10,11/7/2012,316,67,Small Market,East,14,Beans,Coffee,Amaretto,30,113,New Hampshire,40,60,40,100,37,Regular
603,43,-10,11/8/2012,452,66,Small Market,East,14,Beans,Coffee,Colombian,20,109,New Hampshire,30,60,30,90,46,Regular
603,44,-18,11/9/2012,325,62,Small Market,East,40,Beans,Espresso,Caffe Mocha,-8,106,New Hampshire,40,60,10,100,70,Regular
225,53,19,11/10/2012,321,88,Small Market,South,16,Beans,Espresso,Caffe Mocha,49,141,Louisiana,40,60,30,100,39,Regular
425,54,-7,11/11/2012,391,67,Small Market,West,20,Beans,Espresso,Caffe Mocha,13,121,Washington,50,60,20,110,54,Regular
918,54,-7,11/12/2012,391,67,Small Market,South,20,Leaves,Herbal Tea,Chamomile,13,121,Oklahoma,50,60,20,110,54,Decaf
801,46,0,11/13/2012,316,67,Small Market,West,14,Leaves,Herbal Tea,Chamomile,30,113,Utah,40,60,30,100,37,Decaf
435,43,-10,11/14/2012,452,66,Small Market,West,14,Leaves,Herbal Tea,Lemon,20,109,Utah,40,60,30,100,46,Decaf
509,47,4,11/15/2012,834,68,Small Market,West,13,Leaves,Herbal Tea,Lemon,44,115,Washington,40,60,40,100,24,Decaf
203,36,-7,11/16/2012,809,54,Small Market,East,10,Leaves,Tea,Green Tea,33,90,Connecticut,30,60,40,90,21,Regular
206,61,1,11/17/2012,613,86,Small Market,West,55,Leaves,Tea,Green Tea,1,147,Washington,40,60,0,100,85,Regular
682,43,-10,11/18/2012,531,56,Major Market,South,14,Beans,Coffee,Decaf Irish Cream,30,99,Texas,50,60,40,110,26,Decaf
214,54,12,11/19/2012,601,79,Major Market,South,15,Beans,Espresso,Decaf Espresso,52,133,Texas,40,60,40,100,27,Decaf
970,47,-6,11/20/2012,521,65,Major Market,Central,42,Leaves,Herbal Tea,Lemon,-6,112,Colorado,40,60,0,100,71,Decaf
303,54,-1,11/21/2012,424,73,Major Market,Central,17,Leaves,Herbal Tea,Mint,29,127,Colorado,50,60,30,110,44,Decaf
954,65,3,11/22/2012,403,80,Major Market,East,24,Leaves,Herbal Tea,Lemon,23,145,Florida,40,60,20,100,57,Decaf
561,80,20,11/23/2012,1079,96,Major Market,East,24,Leaves,Herbal Tea,Mint,50,176,Florida,60,60,30,120,46,Decaf
469,54,-2,11/24/2012,424,73,Major Market,South,17,Leaves,Herbal Tea,Chamomile,28,127,Texas,50,60,30,110,45,Decaf
214,41,-6,11/25/2012,435,60,Major Market,South,13,Leaves,Herbal Tea,Lemon,24,101,Texas,30,60,30,90,36,Decaf
619,54,3,11/26/2012,601,79,Major Market,West,15,Leaves,Tea,Earl Grey,53,133,California,30,60,50,90,26,Regular
314,31,-23,11/27/2012,844,46,Small Market,Central,8,Beans,Espresso,Decaf Espresso,27,77,Missouri,30,60,50,90,19,Decaf
225,34,-19,11/28/2012,863,51,Small Market,South,9,Beans,Coffee,Decaf Irish Cream,31,85,Louisiana,40,60,50,100,20,Decaf
580,33,-22,11/29/2012,870,49,Small Market,South,9,Beans,Coffee,Decaf Irish Cream,28,82,Oklahoma,30,60,50,90,21,Decaf
603,48,-2,11/30/2012,462,74,Small Market,East,15,Beans,Coffee,Colombian,28,122,New Hampshire,40,60,30,100,46,Regular
985,55,-3,12/1/2012,-1053,76,Small Market,South,49,Beans,Espresso,Caffe Latte,-3,131,Louisiana,40,60,0,100,79,Regular
505,49,-15,12/2/2012,335,69,Small Market,South,44,Beans,Espresso,Caffe Mocha,-5,118,New Mexico,30,60,10,90,74,Regular
775,39,-19,12/3/2012,250,49,Small Market,West,14,Beans,Coffee,Colombian,1,88,Nevada,40,60,20,100,48,Regular
417,49,-5,12/4/2012,335,69,Small Market,Central,44,Leaves,Herbal Tea,Chamomile,-5,118,Missouri,40,60,0,100,74,Decaf
920,41,0,12/5/2012,320,66,Small Market,Central,12,Leaves,Herbal Tea,Chamomile,30,107,Wisconsin,30,60,30,90,36,Decaf
573,92,-4,12/6/2012,1898,68,Small Market,Central,28,Leaves,Herbal Tea,Lemon,16,160,Missouri,80,60,20,140,52,Decaf
475,68,7,12/7/2012,619,85,Small Market,East,25,Leaves,Herbal Tea,Lemon,27,153,Connecticut,50,60,20,110,58,Decaf
475,63,-4,12/8/2012,1075,76,Small Market,East,19,Leaves,Herbal Tea,Mint,36,139,Connecticut,40,60,40,100,40,Decaf
435,92,-3,12/9/2012,1898,68,Small Market,West,28,Leaves,Herbal Tea,Mint,17,160,Utah,80,60,20,140,51,Decaf
920,55,-3,12/10/2012,627,76,Small Market,Central,49,Leaves,Tea,Earl Grey,-3,131,Wisconsin,40,60,0,100,79,Regular
720,51,-27,12/11/2012,503,79,Major Market,Central,46,Leaves,Herbal Tea,Lemon,3,130,Colorado,30,60,30,90,76,Decaf
970,52,-16,12/12/2012,405,79,Major Market,Central,17,Leaves,Herbal Tea,Mint,34,131,Colorado,30,60,50,90,45,Decaf
430,43,-15,12/13/2012,419,71,Major Market,South,13,Leaves,Herbal Tea,Lemon,35,114,Texas,30,60,50,90,36,Decaf
561,38,-9,12/14/2012,871,62,Major Market,East,10,Leaves,Tea,Darjeeling,41,100,Florida,40,60,50,100,21,Regular
510,72,18,12/15/2012,650,122,Major Market,West,23,Leaves,Tea,Green Tea,68,194,California,20,60,50,80,54,Regular
563,0,-26,12/16/2012,430,46,Small Market,Central,0,Beans,Espresso,Decaf Espresso,34,46,Iowa,0,60,60,60,12,Decaf
203,47,-22,12/17/2012,375,71,Small Market,East,15,Beans,Espresso,Decaf Espresso,28,118,Connecticut,30,60,50,90,43,Decaf
405,27,-35,12/18/2012,859,43,Small Market,South,7,Beans,Coffee,Decaf Irish Cream,25,70,Oklahoma,30,60,60,90,18,Decaf
775,31,-39,12/19/2012,1000,41,Small Market,West,9,Beans,Coffee,Decaf Irish Cream,11,72,Nevada,30,60,50,90,30,Decaf
435,40,-16,12/20/2012,881,66,Small Market,West,11,Beans,Espresso,Decaf Espresso,44,106,Utah,20,60,60,80,22,Decaf
603,49,-19,12/21/2012,310,79,Small Market,East,15,Beans,Coffee,Amaretto,41,128,New Hampshire,30,60,60,90,38,Regular
603,45,-19,12/22/2012,447,76,Small Market,East,14,Beans,Coffee,Colombian,31,121,New Hampshire,30,60,50,90,45,Regular
603,45,-30,12/23/2012,320,71,Small Market,East,41,Beans,Espresso,Caffe Mocha,0,116,New Hampshire,30,60,30,90,71,Regular
504,60,0,12/24/2012,-762,93,Small Market,South,54,Beans,Espresso,Caffe Latte,10,153,Louisiana,30,60,10,90,83,Regular
